State,STATE_CODE,Percentage,REPORTING_DATE
Alabama,AL,30,11/15/2004
Alaska,AK,99,11/15/2004
Arizona,AZ,57,11/15/2004
Arkansas,AR,24,11/15/2004
California,CA,24,11/15/2004
Colorado,CO,80,11/15/2004
Connecticut,CT,100,11/15/2004
Delaware,DE,44,11/15/2004
Florida,FL,48,11/15/2004
Georgia,GA,81,11/15/2004
Hawaii,HI,100,11/15/2004
Idaho,ID,64,11/15/2004
Illinois,IL,80,11/15/2004
Indiana,IN,84,11/15/2004
Iowa,IA,99,11/15/2004
Kansas,KS,22,11/15/2004
Kentucky,KY,98,11/15/2004
Louisiana,LA,55,11/15/2004
Maine,ME,93,11/15/2004
Maryland,MD,28,11/15/2004
Massachusetts,MA,61,11/15/2004
Michigan,MI,73,11/15/2004
Minnesota,MN,92,11/15/2004
Mississippi,MS,25,11/15/2004
Missouri,MO,52,11/15/2004
Montana,MT,74,11/15/2004
Nebraska,NE,39,11/15/2004
Nevada,NV,89,11/15/2004
New Hampshire,NH,21,11/15/2004
New Jersey,NJ,82,11/15/2004
New Mexico,NM,30,11/15/2004
New York,NY,24,11/15/2004
North Carolina,NC,33,11/15/2004
North Dakota,ND,20,11/15/2004
Ohio,OH,59,11/15/2004
Oklahoma,OK,66,11/15/2004
Oregon,OR,70,11/15/2004
Pennsylvania,PA,73,11/15/2004
Rhode Island,RI,83,11/15/2004
South Carolina,SC,32,11/15/2004
South Dakota,SD,47,11/15/2004
Tennessee,TN,66,11/15/2004
Texas,TX,44,11/15/2004
Utah,UT,21,11/15/2004
Vermont,VT,66,11/15/2004
Virginia,VA,82,11/15/2004
Washington,WA,25,11/15/2004
West Virginia,WV,32,11/15/2004
Wisconsin,WI,55,11/15/2004
Wyoming,WY,60,11/15/2004
Alabama,AL,48,11/16/2004
Alaska,AK,51,11/16/2004
Arizona,AZ,75,11/16/2004
Arkansas,AR,49,11/16/2004
California,CA,89,11/16/2004
Colorado,CO,32,11/16/2004
Connecticut,CT,89,11/16/2004
Delaware,DE,72,11/16/2004
Florida,FL,44,11/16/2004
Georgia,GA,33,11/16/2004
Hawaii,HI,86,11/16/2004
Idaho,ID,66,11/16/2004
Illinois,IL,95,11/16/2004
Indiana,IN,40,11/16/2004
Iowa,IA,74,11/16/2004
Kansas,KS,40,11/16/2004
Kentucky,KY,85,11/16/2004
Louisiana,LA,84,11/16/2004
Maine,ME,20,11/16/2004
Maryland,MD,82,11/16/2004
Massachusetts,MA,94,11/16/2004
Michigan,MI,30,11/16/2004
Minnesota,MN,53,11/16/2004
Mississippi,MS,96,11/16/2004
Missouri,MO,34,11/16/2004
Montana,MT,71,11/16/2004
Nebraska,NE,40,11/16/2004
Nevada,NV,83,11/16/2004
New Hampshire,NH,27,11/16/2004
New Jersey,NJ,39,11/16/2004
New Mexico,NM,48,11/16/2004
New York,NY,54,11/16/2004
North Carolina,NC,73,11/16/2004
North Dakota,ND,91,11/16/2004
Ohio,OH,83,11/16/2004
Oklahoma,OK,84,11/16/2004
Oregon,OR,88,11/16/2004
Pennsylvania,PA,42,11/16/2004
Rhode Island,RI,30,11/16/2004
South Carolina,SC,97,11/16/2004
South Dakota,SD,41,11/16/2004
Tennessee,TN,45,11/16/2004
Texas,TX,71,11/16/2004
Utah,UT,23,11/16/2004
Vermont,VT,50,11/16/2004
Virginia,VA,84,11/16/2004
Washington,WA,32,11/16/2004
West Virginia,WV,29,11/16/2004
Wisconsin,WI,68,11/16/2004
Wyoming,WY,62,11/16/2004
Alabama,AL,76,11/17/2004
Alaska,AK,79,11/17/2004
Arizona,AZ,48,11/17/2004
Arkansas,AR,100,11/17/2004
California,CA,99,11/17/2004
Colorado,CO,74,11/17/2004
Connecticut,CT,78,11/17/2004
Delaware,DE,54,11/17/2004
Florida,FL,43,11/17/2004
Georgia,GA,58,11/17/2004
Hawaii,HI,62,11/17/2004
Idaho,ID,78,11/17/2004
Illinois,IL,60,11/17/2004
Indiana,IN,89,11/17/2004
Iowa,IA,55,11/17/2004
Kansas,KS,30,11/17/2004
Kentucky,KY,23,11/17/2004
Louisiana,LA,39,11/17/2004
Maine,ME,37,11/17/2004
Maryland,MD,44,11/17/2004
Massachusetts,MA,57,11/17/2004
Michigan,MI,27,11/17/2004
Minnesota,MN,50,11/17/2004
Mississippi,MS,33,11/17/2004
Missouri,MO,79,11/17/2004
Montana,MT,94,11/17/2004
Nebraska,NE,58,11/17/2004
Nevada,NV,71,11/17/2004
New Hampshire,NH,77,11/17/2004
New Jersey,NJ,44,11/17/2004
New Mexico,NM,63,11/17/2004
New York,NY,24,11/17/2004
North Carolina,NC,57,11/17/2004
North Dakota,ND,61,11/17/2004
Ohio,OH,83,11/17/2004
Oklahoma,OK,76,11/17/2004
Oregon,OR,69,11/17/2004
Pennsylvania,PA,36,11/17/2004
Rhode Island,RI,81,11/17/2004
South Carolina,SC,35,11/17/2004
South Dakota,SD,95,11/17/2004
Tennessee,TN,77,11/17/2004
Texas,TX,67,11/17/2004
Utah,UT,95,11/17/2004
Vermont,VT,95,11/17/2004
Virginia,VA,37,11/17/2004
Washington,WA,72,11/17/2004
West Virginia,WV,86,11/17/2004
Wisconsin,WI,49,11/17/2004
Wyoming,WY,76,11/17/2004
Alabama,AL,62,11/18/2004
Alaska,AK,64,11/18/2004
Arizona,AZ,61,11/18/2004
Arkansas,AR,55,11/18/2004
California,CA,41,11/18/2004
Colorado,CO,73,11/18/2004
Connecticut,CT,33,11/18/2004
Delaware,DE,59,11/18/2004
Florida,FL,81,11/18/2004
Georgia,GA,24,11/18/2004
Hawaii,HI,56,11/18/2004
Idaho,ID,81,11/18/2004
Illinois,IL,76,11/18/2004
Indiana,IN,73,11/18/2004
Iowa,IA,45,11/18/2004
Kansas,KS,69,11/18/2004
Kentucky,KY,60,11/18/2004
Louisiana,LA,51,11/18/2004
Maine,ME,81,11/18/2004
Maryland,MD,41,11/18/2004
Massachusetts,MA,87,11/18/2004
Michigan,MI,30,11/18/2004
Minnesota,MN,33,11/18/2004
Mississippi,MS,66,11/18/2004
Missouri,MO,43,11/18/2004
Montana,MT,97,11/18/2004
Nebraska,NE,43,11/18/2004
Nevada,NV,68,11/18/2004
New Hampshire,NH,77,11/18/2004
New Jersey,NJ,79,11/18/2004
New Mexico,NM,95,11/18/2004
New York,NY,35,11/18/2004
North Carolina,NC,50,11/18/2004
North Dakota,ND,94,11/18/2004
Ohio,OH,34,11/18/2004
Oklahoma,OK,82,11/18/2004
Oregon,OR,96,11/18/2004
Pennsylvania,PA,67,11/18/2004
Rhode Island,RI,82,11/18/2004
South Carolina,SC,74,11/18/2004
South Dakota,SD,22,11/18/2004
Tennessee,TN,32,11/18/2004
Texas,TX,49,11/18/2004
Utah,UT,27,11/18/2004
Vermont,VT,89,11/18/2004
Virginia,VA,29,11/18/2004
Washington,WA,99,11/18/2004
West Virginia,WV,50,11/18/2004
Wisconsin,WI,43,11/18/2004
Wyoming,WY,56,11/18/2004
Alabama,AL,76,11/19/2004
Alaska,AK,26,11/19/2004
Arizona,AZ,60,11/19/2004
Arkansas,AR,82,11/19/2004
California,CA,27,11/19/2004
Colorado,CO,98,11/19/2004
Connecticut,CT,33,11/19/2004
Delaware,DE,72,11/19/2004
Florida,FL,57,11/19/2004
Georgia,GA,62,11/19/2004
Hawaii,HI,49,11/19/2004
Idaho,ID,46,11/19/2004
Illinois,IL,60,11/19/2004
Indiana,IN,36,11/19/2004
Iowa,IA,94,11/19/2004
Kansas,KS,72,11/19/2004
Kentucky,KY,94,11/19/2004
Louisiana,LA,39,11/19/2004
Maine,ME,38,11/19/2004
Maryland,MD,37,11/19/2004
Massachusetts,MA,86,11/19/2004
Michigan,MI,23,11/19/2004
Minnesota,MN,64,11/19/2004
Mississippi,MS,99,11/19/2004
Missouri,MO,47,11/19/2004
Montana,MT,20,11/19/2004
Nebraska,NE,69,11/19/2004
Nevada,NV,65,11/19/2004
New Hampshire,NH,90,11/19/2004
New Jersey,NJ,48,11/19/2004
New Mexico,NM,54,11/19/2004
New York,NY,85,11/19/2004
North Carolina,NC,88,11/19/2004
North Dakota,ND,38,11/19/2004
Ohio,OH,67,11/19/2004
Oklahoma,OK,62,11/19/2004
Oregon,OR,23,11/19/2004
Pennsylvania,PA,46,11/19/2004
Rhode Island,RI,51,11/19/2004
South Carolina,SC,39,11/19/2004
South Dakota,SD,62,11/19/2004
Tennessee,TN,97,11/19/2004
Texas,TX,42,11/19/2004
Utah,UT,96,11/19/2004
Vermont,VT,59,11/19/2004
Virginia,VA,100,11/19/2004
Washington,WA,95,11/19/2004
West Virginia,WV,65,11/19/2004
Wisconsin,WI,35,11/19/2004
Wyoming,WY,86,11/19/2004
Alabama,AL,84,11/20/2004
Alaska,AK,84,11/20/2004
Arizona,AZ,61,11/20/2004
Arkansas,AR,28,11/20/2004
California,CA,31,11/20/2004
Colorado,CO,57,11/20/2004
Connecticut,CT,54,11/20/2004
Delaware,DE,97,11/20/2004
Florida,FL,53,11/20/2004
Georgia,GA,73,11/20/2004
Hawaii,HI,65,11/20/2004
Idaho,ID,74,11/20/2004
Illinois,IL,26,11/20/2004
Indiana,IN,77,11/20/2004
Iowa,IA,58,11/20/2004
Kansas,KS,53,11/20/2004
Kentucky,KY,39,11/20/2004
Louisiana,LA,30,11/20/2004
Maine,ME,34,11/20/2004
Maryland,MD,20,11/20/2004
Massachusetts,MA,37,11/20/2004
Michigan,MI,62,11/20/2004
Minnesota,MN,64,11/20/2004
Mississippi,MS,25,11/20/2004
Missouri,MO,88,11/20/2004
Montana,MT,33,11/20/2004
Nebraska,NE,45,11/20/2004
Nevada,NV,90,11/20/2004
New Hampshire,NH,98,11/20/2004
New Jersey,NJ,51,11/20/2004
New Mexico,NM,87,11/20/2004
New York,NY,43,11/20/2004
North Carolina,NC,31,11/20/2004
North Dakota,ND,32,11/20/2004
Ohio,OH,25,11/20/2004
Oklahoma,OK,28,11/20/2004
Oregon,OR,20,11/20/2004
Pennsylvania,PA,59,11/20/2004
Rhode Island,RI,89,11/20/2004
South Carolina,SC,87,11/20/2004
South Dakota,SD,88,11/20/2004
Tennessee,TN,81,11/20/2004
Texas,TX,63,11/20/2004
Utah,UT,40,11/20/2004
Vermont,VT,70,11/20/2004
Virginia,VA,88,11/20/2004
Washington,WA,93,11/20/2004
West Virginia,WV,34,11/20/2004
Wisconsin,WI,64,11/20/2004
Wyoming,WY,20,11/20/2004
